address,city,state,zipcode,property_type,square_footage,lot_size,num_rooms,num_bedrooms,num_baths,year_built,last_sale_amount,last_sale_date,estimated_value
1863 S Sherman St,Denver,CO,80210,Single Family Residence,1776,7810.00,7,4,2.000,1910,704000,2015-06-19,636249
4930 Umatilla St,Denver,CO,80221,Single Family Residence,944,6250.00,5,3,1.000,1948,55500,1997-11-06,277281
2232 Leyden St,Denver,CO,80207,Single Family Residence,1613,9150.00,6,3,2.000,1942,226500,1998-09-01,615189
3440 N Jackson St,Denver,CO,80205,Single Family Residence,1020,7720.00,5,2,2.000,1953,132000,2010-12-27,430774
20795 E 47th Ave,Denver,CO,80249,Single Family Residence,1300,3740.00,6,3,3.000,2001,116000,2008-10-09,258263
1850 S King Way,Denver,CO,80219,Single Family Residence,827,7040.00,4,2,2.000,1953,221000,2015-01-23,296183
8740 E 29th Ave,Denver,CO,80238,Single Family Residence,2512,5170.00,10,4,4.000,2003,41600,2012-07-09,689729
370 Perry St,Denver,CO,80219,Single Family Residence,1074,6240.00,5,3,1.000,1958,30100,1976-06-01,242314
4624 S Raleigh St,Denver,CO,80236,Single Family Residence,2262,8450.00,7,4,4.000,1978,237900,1999-09-30,389821
2980 S Detroit Way,Denver,CO,80210,Single Family Residence,1933,10400.00,6,3,3.000,1959,154000,1992-09-01,849350
1515 S Downing St,Denver,CO,80210,Single Family Residence,1064,6030.00,5,2,2.000,1941,90000,1994-06-30,481306
766 Hudson St,Denver,CO,80220,Single Family Residence,1219,6250.00,5,3,2.000,1946,300000,2010-03-30,531442
260 N Lincoln St,Denver,CO,80203,Single Family Residence,1758,3125.00,8,4,4.000,1890,275500,2011-06-16,517378
18650 E 40th Pl,Denver,CO,80249,Single Family Residence,1413,3097.00,6,3,3.000,2003,124000,2008-08-25,275212
8243 E 8th Ave,Denver,CO,80230,Single Family Residence,2378,5364.00,8,4,3.000,2011,462000,2012-01-12,667167
500 Monaco Pkwy,Denver,CO,80220,Single Family Residence,2216,11200.00,7,4,3.000,1954,72500,1977-03-01,959033
5475 E Kentucky Ave,Denver,CO,80246,Single Family Residence,1655,10000.00,6,3,3.000,1959,320000,2013-04-01,477026
3470 W Tennessee Ave,Denver,CO,80219,Single Family Residence,1073,7560.00,6,2,2.000,1952,128500,2011-11-01,275080
146 Grape St,Denver,CO,80220,Single Family Residence,1613,6250.00,7,4,2.000,1954,0,2007-05-09,837883
2206 S Tennyson St,Denver,CO,80219,Single Family Residence,2698,9980.00,9,5,3.000,1956,90000,1980-09-01,374224
743 Dahlia St,Denver,CO,80220,Single Family Residence,2025,7440.00,6,3,3.000,1952,520020,2015-02-23,937857
4114 N Clay St,Denver,CO,80211,Single Family Residence,1206,6600.00,7,4,2.000,1905,420000,2015-11-03,507944
3030 W Harvard Ave,Denver,CO,80219,Single Family Residence,1236,6680.00,4,2,1.000,1952,140000,2013-08-15,247720
18692 E 40th Pl,Denver,CO,80249,Single Family Residence,1626,4102.00,6,3,3.000,2003,159900,2010-11-01,387793
411 Wolff St,Denver,CO,80204,Single Family Residence,971,6150.00,5,3,2.000,1954,120000,2008-05-29,269649
4795 Logan St,Denver,CO,80216,Single Family Residence,986,7500.00,5,2,1.000,1924,89000,1999-03-03,240940
256 Bannock St,Denver,CO,80223,Single Family Residence,1822,8175.00,6,3,2.000,1901,410000,2012-09-05,597884
1350 S Humboldt St,Denver,CO,80210,Single Family Residence,966,6240.00,5,2,2.000,1924,670000,2015-03-23,692716
1259 S University Blvd,Denver,CO,80210,Single Family Residence,2840,6500.00,9,5,5.000,1927,659900,2009-04-09,1201896
4111 Dunkirk Ct,Denver,CO,80249,Single Family Residence,1521,4363.00,6,3,3.000,1994,190000,2013-12-03,300039
1715 S Uinta Way,Denver,CO,80231,Single Family Residence,2316,13561.00,5,2,5.000,2014,958199,2015-08-18,1054503
2691 Lowell Blvd,Denver,CO,80211,Single Family Residence,758,4470.00,5,2,2.000,1935,124000,2010-03-12,488058
4661 S Perry Way,Denver,CO,80236,Single Family Residence,1935,8050.00,6,3,2.000,1983,126900,1987-07-01,387049
4103 Shoshone St,Denver,CO,80211,Single Family Residence,1001,4870.00,5,2,1.000,1908,0,1995-02-02,413776
2719 N Cook St,Denver,CO,80205,Single Family Residence,1047,6620.00,5,2,1.000,1942,0,2010-03-02,342572
4694 Clayton St,Denver,CO,80216,Single Family Residence,1135,5730.00,7,3,1.000,1946,22500,1990-04-01,243009
1545 Locust St,Denver,CO,80220,Single Family Residence,1532,6500.00,5,2,2.000,1938,0,2009-12-15,577719
861 Clarkson Ct,Denver,CO,80229,Single Family Residence,933,7800.00,6,4,2.000,1973,198000,2014-09-03,263915
6891 Morrison Dr,Denver,CO,80221,Single Family Residence,850,6300.00,4,2,2.000,1955,105000,2008-10-28,262474
8473 E Amherst Cir,Denver,CO,80231,Single Family Residence,1981,4704.00,0,2,3.000,1997,244100,1998-03-06,484454
2465 S Cherokee St,Denver,CO,80223,Single Family Residence,1008,6250.00,6,3,1.000,1922,130000,2008-09-22,325473
365 Perry St,Denver,CO,80219,Single Family Residence,1034,4666.00,5,3,1.000,1925,50000,2008-11-18,223310
4579 Argonne St,Denver,CO,80249,Single Family Residence,1224,3218.00,5,2,1.000,2006,144000,2008-10-30,250909
761 S Oneida St,Denver,CO,80224,Single Family Residence,1468,4876.00,5,2,3.000,1993,450000,2014-09-11,617995
4830 E Missouri Ave,Denver,CO,80246,Single Family Residence,1005,6360.00,5,2,1.000,1952,225000,2013-08-16,360653
19377 E 40th Ave,Denver,CO,80249,Single Family Residence,1704,4016.00,7,4,3.000,1993,162900,2000-01-04,285663
4680 Quitman St,Denver,CO,80212,Single Family Residence,889,7810.00,4,2,2.000,1949,195000,2003-03-08,429398
3228 N Madison St,Denver,CO,80205,Single Family Residence,831,4690.00,4,2,2.000,1926,263000,2013-07-03,418117
8755 E 49th Pl,Denver,CO,80238,Single Family Residence,1997,4740.00,6,3,3.000,2014,493000,2015-12-18,564118
1551 Vrain St,Denver,CO,80204,Single Family Residence,1201,6250.00,5,2,1.000,1951,65000,1993-03-22,441739
10 Bryant Way,Denver,CO,80219,Single Family Residence,724,8620.00,5,2,2.000,1948,149800,2008-11-03,248331
5558 Malta St,Denver,CO,80249,Single Family Residence,1743,3929.00,5,3,3.000,2012,307500,2016-08-02,275467
800 S Corona St,Denver,CO,80209,Single Family Residence,1170,5770.00,7,2,2.000,1928,110000,1983-10-01,683922
4720 Thompson Ct,Denver,CO,80216,Single Family Residence,1058,5700.00,5,3,1.000,1948,75000,2012-06-15,220037
21327 E 55th Pl,Denver,CO,80249,Single Family Residence,1509,2908.00,6,3,1.000,2005,159300,2005-05-27,268656
1460 S Jasmine Way,Denver,CO,80224,Single Family Residence,1606,8940.00,6,4,2.000,1955,320000,2009-12-02,452340
6926 E Louisiana Ave,Denver,CO,80224,Single Family Residence,1631,7150.00,6,3,3.000,1966,87500,1991-04-01,403025
4585 Meade St,Denver,CO,80211,Single Family Residence,2044,7810.00,10,4,3.000,1906,455000,2009-01-07,813502
3536 N Milwaukee St,Denver,CO,80205,Single Family Residence,932,5620.00,5,2,2.000,1938,240000,2014-05-01,351658
952 Meade St,Denver,CO,80204,Single Family Residence,867,5840.00,4,2,1.000,1949,15000,1998-02-03,226459
2237 S Osceola St,Denver,CO,80219,Single Family Residence,1096,6500.00,6,3,2.000,1954,240000,2014-03-24,344452
2883 S Wolff St,Denver,CO,80236,Single Family Residence,1154,8250.00,6,3,2.000,1955,215000,2013-11-04,352912
5224 Fairplay St,Denver,CO,80239,Single Family Residence,1074,6500.00,4,2,2.000,1999,190000,2003-06-10,255376
3949 Umatilla St,Denver,CO,80211,Single Family Residence,970,4690.00,5,2,1.000,1911,50100,1993-06-18,417233
2701 S Fenton St,Denver,CO,80227,Single Family Residence,2378,12250.00,7,4,3.000,1965,90000,1996-04-01,379856
2401 Poplar St,Denver,CO,80207,Single Family Residence,1052,6500.00,5,3,2.000,1949,286000,2013-05-28,441934
1954 S Meade St,Denver,CO,80219,Single Family Residence,1426,6880.00,6,3,2.000,1955,70000,1988-07-01,308764
201 Newport St,Denver,CO,80220,Single Family Residence,1384,6600.00,6,3,2.000,1951,250000,2004-07-30,445572
8564 E Monmouth Pl,Denver,CO,80237,Single Family Residence,1628,9200.00,7,3,2.000,1971,320000,2007-05-26,442400
54 S Pennsylvania St,Denver,CO,80209,Single Family Residence,3373,6250.00,12,5,6.000,1890,27700,2011-06-20,922012
2906 S Sidney Ct,Denver,CO,80231,Single Family Residence,1999,7590.00,7,3,3.000,1975,91000,1979-09-01,410480
4344 Milwaukee St,Denver,CO,80216,Single Family Residence,712,6250.00,4,2,1.000,1936,4700,1995-07-01,205832
1925 Olive St,Denver,CO,80220,Single Family Residence,1156,6860.00,5,3,1.000,1948,195000,2003-08-05,406909
2620 S Pearl St,Denver,CO,80210,Single Family Residence,785,6720.00,5,2,1.000,1942,330000,2007-12-28,438934
4352 Deephaven Ct,Denver,CO,80239,Single Family Residence,1500,4880.00,5,3,3.000,1996,188000,2003-04-23,270516
19792 E 49th Ave,Denver,CO,80249,Single Family Residence,1858,5909.00,6,3,3.000,2002,0,2007-08-22,297434
520 Grape St,Denver,CO,80220,Single Family Residence,2756,8120.00,9,4,4.000,1941,710000,2013-04-01,1023301
1541 S Perry St,Denver,CO,80219,Single Family Residence,1126,6600.00,6,3,1.000,1955,30500,1994-07-01,264171
3061 S Chester Ct,Denver,CO,80231,Single Family Residence,1265,10000.00,6,3,2.000,1973,225900,2008-12-29,379726
1718 S Decatur St,Denver,CO,80219,Single Family Residence,2179,11700.00,6,3,2.000,1946,250000,2014-09-09,386779
4505 Utica St,Denver,CO,80212,Single Family Residence,2167,7810.00,7,4,2.000,1927,103000,1986-05-30,703927
2072 Ash St,Denver,CO,80207,Single Family Residence,2145,9370.00,8,4,3.000,1909,81000,1996-07-31,878763
5964 W Columbia Pl,Denver,CO,80227,Single Family Residence,2053,9210.00,7,4,2.000,1962,91100,1989-01-03,365850
3791 S Spruce St,Denver,CO,80237,Single Family Residence,1962,7000.00,7,3,3.000,1969,132000,1993-10-01,448639
4745 N Clay St,Denver,CO,80211,Single Family Residence,947,6650.00,5,2,1.000,1905,63000,1990-07-01,349513
1550 S Zenobia St,Denver,CO,80219,Single Family Residence,739,6780.00,4,2,1.000,1954,44100,1991-05-02,232396
3238 W Virginia Ave,Denver,CO,80219,Single Family Residence,1063,7050.00,5,3,1.000,1932,29300,1978-09-01,228688
600 Utica St,Denver,CO,80204,Single Family Residence,1700,13200.00,5,3,1.000,1981,10000,1978-01-01,284797
3690 Oneida St,Denver,CO,80207,Single Family Residence,765,7500.00,4,2,1.000,1953,76400,1997-07-01,284581
3002 S Meade St,Denver,CO,80236,Single Family Residence,1261,10800.00,6,3,2.000,1956,70000,1980-10-01,336955
810 S Josephine St,Denver,CO,80209,Single Family Residence,2271,7500.00,7,3,3.000,1951,197100,1997-10-28,819678
3065 S Bellaire St,Denver,CO,80222,Single Family Residence,895,9840.00,5,3,1.000,1949,63000,1987-10-01,366531
2058 S Winona Ct,Denver,CO,80219,Single Family Residence,1351,6350.00,6,4,2.000,1954,0,2014-09-05,310421
465 Olive St,Denver,CO,80220,Single Family Residence,754,6680.00,4,2,1.000,1946,0,2015-11-30,334322
7677 Umatilla St,Denver,CO,80221,Single Family Residence,816,6600.00,4,2,2.000,1957,177500,2004-12-16,245213
9293 E Missouri Ave,Denver,CO,80247,Single Family Residence,1867,4487.00,0,3,3.000,1999,216500,2011-10-11,346371
2292 S Alton Way,Denver,CO,80231,Single Family Residence,2071,17337.00,0,4,3.000,1973,200700,1996-08-30,495254
1714 S Uinta Way,Denver,CO,80231,Single Family Residence,1185,13242.00,0,2,2.000,1965,288750,2013-08-01,515021
3438 N Humboldt St,Denver,CO,80205,Single Family Residence,619,3150.00,4,2,1.000,1896,158000,2015-03-05,291741
2183 S Downing St,Denver,CO,80210,Single Family Residence,1568,6500.00,5,2,3.000,1925,485000,2015-09-04,631893
3895 S Hillcrest Dr,Denver,CO,80237,Single Family Residence,2286,12700.00,7,3,4.000,1966,486000,2009-10-08,635110
4535 W 4th Ave,Denver,CO,80219,Single Family Residence,1531,9190.00,8,4,3.000,1922,275900,2015-10-13,366687
770 Stuart St,Denver,CO,80204,Single Family Residence,836,6270.00,5,3,1.000,1955,39500,1994-09-22,231590
4205 W 4th Ave,Denver,CO,80219,Single Family Residence,952,2392.00,4,2,1.000,1949,115000,2009-02-24,207745
1745 Krameria St,Denver,CO,80220,Single Family Residence,2034,6200.00,7,3,3.000,1927,429000,2000-09-15,803053
2231 W Custer Pl,Denver,CO,80223,Single Family Residence,1110,7200.00,5,3,1.000,1951,186100,2002-10-22,255365
3393 Wabash St,Denver,CO,80238,Single Family Residence,1612,3366.00,6,3,4.000,2007,410000,2014-12-09,504698
3180 S Willow St,Denver,CO,80231,Single Family Residence,2085,7540.00,7,4,3.000,1976,224950,2002-01-08,404156
1686 S Glencoe St,Denver,CO,80222,Single Family Residence,1160,8600.00,6,3,3.000,1956,372000,2015-06-02,443364
8049 E 5th Ave,Denver,CO,80230,Single Family Residence,2044,6085.00,7,2,3.000,2002,650000,2006-04-11,748849
2870 Kearney St,Denver,CO,80207,Single Family Residence,971,7440.00,4,2,1.000,1947,94500,1998-04-02,353971
372 N Ogden St,Denver,CO,80218,Single Family Residence,1144,4690.00,5,2,2.000,1923,375000,2014-09-04,515144
1561 Monroe St,Denver,CO,80206,Single Family Residence,1217,5000.00,6,3,2.000,1919,103500,1993-10-01,506941
1035 S Florence St,Denver,CO,80247,Single Family Residence,2412,13753.00,8,3,3.000,1983,308500,2008-08-27,475802
3100 W Arizona Ave,Denver,CO,80219,Single Family Residence,1564,8770.00,5,3,2.000,1957,126500,2013-03-21,278155
920 N Clarkson St,Denver,CO,80218,Single Family Residence,3028,5380.00,8,5,4.000,1899,620000,2014-05-30,1113035
4637 York St,Denver,CO,80216,Single Family Residence,848,4650.00,5,2,1.000,1886,22725,1988-05-01,199454
1325 Fairfax St,Denver,CO,80220,Single Family Residence,1455,6220.00,5,2,2.000,1939,119500,1990-03-14,564107
5000 Alcott St,Denver,CO,80221,Single Family Residence,903,6250.00,5,2,2.000,1925,322000,2014-12-03,419423
2636 S Grove St,Denver,CO,80219,Single Family Residence,1364,6000.00,7,4,1.000,1952,168000,2012-03-20,264897
6501 E La Salle Pl,Denver,CO,80224,Single Family Residence,1333,8800.00,6,3,3.000,1964,299900,2013-08-07,441163
8331 E Lehigh Dr,Denver,CO,80237,Single Family Residence,2709,12600.00,8,5,3.000,1964,86000,1987-04-01,474321
1376 Clermont St,Denver,CO,80220,Single Family Residence,1378,6240.00,5,2,2.000,1927,379000,2015-01-07,570123
4685 Crystal St,Denver,CO,80239,Single Family Residence,1319,8720.00,6,3,2.000,1981,71000,1989-01-26,256459
4363 Decatur St,Denver,CO,80211,Single Family Residence,669,5690.00,5,2,1.000,1905,195000,2005-11-07,384777
3835 E Wesley Ave,Denver,CO,80210,Single Family Residence,2031,6430.00,7,3,2.000,1951,498000,2005-02-07,694032
365 S Ogden St,Denver,CO,80209,Single Family Residence,1165,6350.00,5,2,1.000,1907,458000,2013-06-10,694429
4570 Eliot St,Denver,CO,80211,Single Family Residence,2419,6250.00,9,5,4.000,1955,0,1998-08-19,449235
5550 Helena St,Denver,CO,80239,Single Family Residence,1689,6527.00,6,3,3.000,2002,159000,2009-02-04,323566
2847 Champa St,Denver,CO,80205,Single Family Residence,1919,4500.00,9,4,1.000,1886,409850,2014-06-03,560293
3726 N Clay St,Denver,CO,80211,Single Family Residence,1311,6215.00,5,2,2.000,1936,260000,2004-06-18,547003
2273 Ivy St,Denver,CO,80207,Single Family Residence,1023,6250.00,5,2,1.000,1925,410200,2016-05-06,495697
930 S Dale Ct,Denver,CO,80219,Single Family Residence,1085,7500.00,6,3,1.000,1951,41900,1990-07-18,256902
1381 S Edison Way,Denver,CO,80222,Single Family Residence,2013,9200.00,6,3,2.000,1957,467500,2007-04-23,712225
3477 Akron Ct,Denver,CO,80238,Single Family Residence,2521,5996.00,8,4,3.000,2008,0,2016-04-04,815635
1250 S High St,Denver,CO,80210,Single Family Residence,1127,6300.00,7,3,1.000,1922,81000,1983-09-01,711490
4825 W 30th Ave,Denver,CO,80212,Single Family Residence,976,6300.00,4,2,2.000,1948,416000,2014-05-12,614733
2653 Trenton St,Denver,CO,80238,Single Family Residence,2164,4500.00,7,3,4.000,2002,505000,2013-03-04,759701
1290 S High St,Denver,CO,80210,Single Family Residence,1260,6300.00,6,3,2.000,1920,392000,2011-06-16,722770
3665 S Jay St,Denver,CO,80235,Single Family Residence,1402,7293.00,5,2,3.000,1977,257000,2011-09-15,409604
4505 Andes St,Denver,CO,80249,Single Family Residence,1650,3150.00,7,3,3.000,2006,183100,2007-01-29,265997
288 S Milwaukee St,Denver,CO,80209,Single Family Residence,3351,6392.00,8,5,4.000,1993,515000,2009-09-01,1425811
2703 S Depew St,Denver,CO,80227,Single Family Residence,1305,11200.00,6,3,3.000,1962,86500,1991-03-01,358894
2512 S Cook St,Denver,CO,80210,Single Family Residence,3470,6370.00,9,3,4.000,1999,787800,2000-07-03,1188874
19698 Randolph Pl,Denver,CO,80249,Single Family Residence,1754,4290.00,6,3,3.000,2006,285000,2016-08-25,286922
8032 E 49th Pl,Denver,CO,80238,Single Family Residence,2012,2560.00,5,3,3.000,2013,343006,2013-09-16,507620
5535 Abilene St,Denver,CO,80239,Single Family Residence,840,7000.00,4,2,2.000,1970,26700,1976-09-01,237837
5462 Atchison Way,Denver,CO,80239,Single Family Residence,1044,7150.00,6,4,2.000,1973,0,2005-08-11,245559
589 S Grant St,Denver,CO,80209,Single Family Residence,927,3370.00,5,2,1.000,1895,441000,2016-01-29,463909
1590 S Dahlia St,Denver,CO,80222,Single Family Residence,1543,12700.00,6,3,2.000,1963,355000,2016-08-31,484315
523 S Race St,Denver,CO,80209,Single Family Residence,1663,4680.00,5,2,2.000,1903,600000,2013-09-24,729081
7363 E Bayaud Ave,Denver,CO,80230,Single Family Residence,2620,5091.00,8,3,3.000,1999,368600,2000-06-06,666087
4540 Cathay Ct,Denver,CO,80249,Single Family Residence,2007,7050.00,8,4,3.000,1983,132000,2009-07-07,311174
777 S Yates St,Denver,CO,80219,Single Family Residence,1092,8460.00,6,3,2.000,1960,143000,2006-11-21,268201
3435 W Harvard Ave,Denver,CO,80219,Single Family Residence,1270,8910.00,7,4,1.000,1951,90000,2011-10-10,267202
3045 Dahlia St,Denver,CO,80207,Single Family Residence,826,5950.00,4,2,1.000,1951,30800,1980-07-01,289438
19542 E 42nd Ave,Denver,CO,80249,Single Family Residence,1265,5000.00,7,2,2.000,1987,91110,1991-05-01,257897
2005 S Ogden St,Denver,CO,80210,Single Family Residence,1147,6250.00,5,2,1.000,1931,247500,2011-06-28,473400
7230 Alan Dr,Denver,CO,80221,Single Family Residence,850,6000.00,4,2,1.750,1956,143000,2005-12-12,239747
6950 Larsh Dr,Denver,CO,80221,Single Family Residence,850,5800.00,4,2,2.000,1956,91750,2004-08-31,241437
7830 Tejon St,Denver,CO,80221,Single Family Residence,1118,6100.00,5,3,2.000,1957,164450,2009-07-13,271106
8387 Charles Way,Denver,CO,80221,Single Family Residence,828,7575.00,4,2,1.000,1970,170000,2016-07-25,272694
7808 Florado St,Denver,CO,80221,Single Family Residence,816,6600.00,6,4,2.000,1958,151000,2007-01-31,245096
1230 N Downing St,Denver,CO,80218,Single Family Residence,2028,3910.00,5,2,3.000,1902,50000,1990-09-01,568889
3150 S Pontiac St,Denver,CO,80224,Single Family Residence,1458,7509.00,7,3,3.000,1974,325000,2005-04-05,421689
2907 S Fenton St,Denver,CO,80227,Single Family Residence,1792,9920.00,6,3,3.000,1962,238000,2015-04-03,360200
1333 Spruce St,Denver,CO,80220,Single Family Residence,1385,6100.00,5,3,2.000,1942,375000,2016-04-25,340815
18980 E Chaffee Pl,Denver,CO,80249,Single Family Residence,1823,6530.00,6,3,3.000,1984,196000,2000-12-27,295494
2831 S Wabash Cir,Denver,CO,80231,Single Family Residence,1647,9380.00,7,3,3.000,1973,0,2001-02-08,393193
3128 W Alaska Pl,Denver,CO,80219,Single Family Residence,640,6370.00,3,1,1.000,1933,35000,2012-05-02,197958
1351 S Pennsylvania St,Denver,CO,80210,Single Family Residence,976,4690.00,4,1,2.000,1890,260000,2012-01-13,472437
4699 W 36th Ave,Denver,CO,80212,Single Family Residence,1946,3120.00,7,4,3.000,2000,570000,2016-06-27,719507
4615 W Byron Pl,Denver,CO,80212,Single Family Residence,3265,6957.00,7,3,4.000,1972,489250,2001-05-11,1150968
4490 Perry St,Denver,CO,80212,Single Family Residence,851,4690.00,4,2,1.000,1952,300000,2013-06-10,387701
3457 W 36th Ave,Denver,CO,80211,Single Family Residence,874,4690.00,5,2,2.000,1925,479000,2014-12-17,518903
4977 Fraser Way,Denver,CO,80239,Single Family Residence,1801,5393.00,7,3,3.000,1996,119000,2012-03-30,286792
1355 Syracuse St,Denver,CO,80220,Single Family Residence,1020,6100.00,5,2,2.000,1943,103100,1997-06-30,302349
1270 S Zenobia St,Denver,CO,80219,Single Family Residence,830,7500.00,5,2,2.000,1954,160000,2014-04-02,252396
10053 E Exposition Ave,Denver,CO,80247,Single Family Residence,2384,11500.00,7,3,4.000,1970,107000,1992-02-01,445435
4022 Perth St,Denver,CO,80249,Single Family Residence,1646,4596.00,7,3,3.000,2000,0,2003-03-25,283003
1645 S Josephine St,Denver,CO,80210,Single Family Residence,1065,6250.00,6,3,2.000,1952,232300,2000-01-19,528320
3860 S Spruce St,Denver,CO,80237,Single Family Residence,1510,7700.00,7,3,2.000,1970,0,2015-07-17,439541
3521 Dexter St,Denver,CO,80207,Single Family Residence,1659,3375.00,6,3,3.000,2001,249900,2002-10-07,369115
428 Colorado Blvd,Denver,CO,80206,Single Family Residence,2252,7230.00,9,4,3.000,1930,322500,2009-07-28,818453
4524 Sable St,Denver,CO,80239,Single Family Residence,955,5570.00,5,2,1.000,1982,151000,2003-01-06,249995
2564 S Bannock St,Denver,CO,80223,Single Family Residence,1457,4690.00,7,3,2.000,1992,299000,2013-05-30,397852
1712 Olive St,Denver,CO,80220,Single Family Residence,1130,6500.00,5,2,1.000,1948,325000,2015-04-10,372542
2836 Cherry St,Denver,CO,80207,Single Family Residence,1004,5950.00,5,2,2.000,1922,328000,2008-12-09,520688
3016 N Marion St,Denver,CO,80205,Single Family Residence,1379,3120.00,6,3,2.000,1886,213347,2006-09-28,440953
917 Holly St,Denver,CO,80220,Single Family Residence,1465,7000.00,6,2,2.000,1943,306500,2006-09-14,413684
1125 E Virginia Ave,Denver,CO,80209,Single Family Residence,1408,6350.00,6,3,2.000,1929,520000,2006-05-02,676086
715 Meade St,Denver,CO,80204,Single Family Residence,600,5740.00,6,2,2.000,1925,115000,2009-11-10,267085
2041 E Cornell Ave,Denver,CO,80210,Single Family Residence,1193,8170.00,5,3,3.000,1956,240000,2000-07-26,489823
9800 E Walsh Pl,Denver,CO,80247,Single Family Residence,1726,8580.00,7,3,2.000,1974,68500,1977-09-01,412653
1333 Adams St,Denver,CO,80206,Single Family Residence,2224,3963.00,8,4,3.000,1918,317500,1999-03-18,718819
427 N Downing St,Denver,CO,80218,Single Family Residence,2586,4690.00,7,3,3.000,1890,390000,2000-10-25,733131
3455 S Clinton Ct,Denver,CO,80231,Single Family Residence,1980,10000.00,7,3,3.000,1968,396000,2016-06-02,414549
4686 Walden Ct,Denver,CO,80249,Single Family Residence,2044,4775.00,6,3,3.000,2013,278400,2014-05-23,341712
1350 Osceola St,Denver,CO,80204,Single Family Residence,929,4690.00,6,2,1.000,1914,45600000,2007-01-19,299024
2540 S Fillmore St,Denver,CO,80210,Single Family Residence,1235,7500.00,3,1,1.000,1924,215000,1999-04-02,669177
1961 S Clayton St,Denver,CO,80210,Single Family Residence,1136,7500.00,5,3,1.000,1942,360000,2014-07-28,432993
2875 S Cook St,Denver,CO,80210,Single Family Residence,3496,9400.00,10,4,7.000,2006,850000,2008-07-23,1487254
6798 E Dartmouth Ave,Denver,CO,80224,Single Family Residence,1896,10558.00,8,4,3.000,1966,375000,2002-04-25,508955
620 Martindale Dr,Denver,CO,80210,Single Family Residence,774,6250.00,4,2,2.000,1942,135000,2004-07-30,436481
235 Irving St,Denver,CO,80219,Single Family Residence,976,6250.00,6,4,2.000,1909,181000,2005-05-26,257085
2685 W Water Ave,Denver,CO,80219,Single Family Residence,890,10300.00,6,2,2.000,1951,120000,2006-11-22,269339
4552 Utica St,Denver,CO,80212,Single Family Residence,1452,6250.00,6,3,1.000,1899,152000,1998-12-14,519110
18673 E 43rd Pl,Denver,CO,80249,Single Family Residence,1413,3277.00,6,3,2.000,2003,198000,2014-12-11,263252
4401 Montview Blvd,Denver,CO,80207,Single Family Residence,3344,11900.00,6,3,3.000,1948,750000,2002-11-05,1198557
1326 Fairfax St,Denver,CO,80220,Single Family Residence,1495,6250.00,6,3,2.000,1936,500000,2014-07-15,738174
4219 Vallejo St,Denver,CO,80211,Single Family Residence,1418,6250.00,7,3,1.000,1886,400000,2015-01-08,599530
536 E 1st Ave,Denver,CO,80203,Single Family Residence,1435,2414.00,6,3,2.000,1901,124000,1993-08-01,462702
860 Detroit St,Denver,CO,80206,Single Family Residence,3441,8750.00,11,4,4.000,1920,100000,1999-02-10,1111027
253 S Lafayette St,Denver,CO,80209,Single Family Residence,971,3120.00,4,2,1.000,1900,55000,1980-08-01,431881
1385 S Clarkson St,Denver,CO,80210,Single Family Residence,2001,4920.00,6,4,3.000,1924,37000,1980-10-01,638438
4448 Sherman St,Denver,CO,80216,Single Family Residence,559,3120.00,3,1,1.000,1905,75000,2000-05-03,183056
1610 Ivy St,Denver,CO,80220,Single Family Residence,2120,6200.00,6,2,3.000,1929,129500,1981-11-01,775782
1565 Syracuse St,Denver,CO,80220,Single Family Residence,727,5050.00,4,2,1.000,1923,39900,1991-09-01,253834
7362 E Mansfield Ave,Denver,CO,80237,Single Family Residence,3788,13700.00,9,4,4.000,1973,405000,2005-07-05,935984
1011 S Valentia St # 28,Denver,CO,80247,Single Family Residence,2025,5738.00,6,3,4.000,1998,301329,1998-09-10,475296
7980 E 55th Ave,Denver,CO,80238,Single Family Residence,1938,3006.00,6,3,3.000,2014,492500,2016-09-27,444300
1646 Utica St,Denver,CO,80204,Single Family Residence,1100,9370.00,6,3,2.000,1966,0,2013-09-10,485437
943 Galapago St,Denver,CO,80204,Single Family Residence,1490,.00,7,5,1.000,1979,0,2006-09-22,402827
2625 Ivy St,Denver,CO,80207,Single Family Residence,1083,6250.00,4,2,2.000,1948,0,1994-04-13,384677
1085 S Harrison St,Denver,CO,80209,Single Family Residence,1377,6250.00,6,3,2.000,1951,88900,1987-10-01,477590
2455 Zenobia St,Denver,CO,80212,Single Family Residence,1218,6370.00,5,2,1.000,1952,70000,1991-12-18,497271
1250 S Knox Ct,Denver,CO,80219,Single Family Residence,936,5750.00,5,3,1.000,1955,62000,1994-09-19,242465
1431 S Meade St,Denver,CO,80219,Single Family Residence,990,7500.00,5,2,1.000,1955,31800,1993-06-11,250055
1215 S Raleigh St,Denver,CO,80219,Single Family Residence,1359,7500.00,6,3,2.000,1952,30000,1977-06-01,269034
4500 E 6th Avenue Pkwy,Denver,CO,80220,Single Family Residence,3847,12500.00,9,4,5.000,1959,0,2002-09-19,1807551
721 Olive St,Denver,CO,80220,Single Family Residence,886,8130.00,5,2,2.000,1953,85000,1986-12-05,449939
2701 Joliet St,Denver,CO,80238,Single Family Residence,2535,6025.00,7,3,3.000,2013,547184,2013-07-22,690943
455 Raleigh St,Denver,CO,80204,Single Family Residence,1051,5860.00,5,2,1.000,1954,117540,2003-09-30,242286
